,dong,cluster,ratio_after,latitude,longitude
111,신정3동,3,0.2701412838914752,37.515086,126.854859
112,신정4동,3,0.2701412838914752,37.523422,126.85868
113,신정6동,1,0.2311996177499653,37.517053,126.864399
114,신정7동,3,0.2701412838914752,37.514412,126.8597
115,여의동,2,0.1889055755480623,37.517598,126.934571
116,당산1동,3,0.216459586995108,37.524964,126.897275
117,당산2동,2,0.1889055755480623,37.5349067,126.9024494
118,양평1동,3,0.216459586995108,37.5238753,126.8882179
119,양평2동,3,0.216459586995108,37.5379179,126.8958116
120,신길1동,0,0.2398426632129323,37.5110972,126.9214245
121,신길3동,0,0.2398426632129323,37.5074273,126.9077408
122,신길4동,0,0.2398426632129323,37.5083194,126.9113669
123,신길5동,0,0.2398426632129323,37.5014139,126.9052254
124,신길6동,3,0.216459586995108,37.499413,126.9097684
125,신길7동,3,0.216459586995108,37.5063069,126.9212145
126,대림1동,3,0.216459586995108,37.4953825,126.9057902
127,대림2동,3,0.216459586995108,37.4926982,126.8982717
128,대림3동,1,0.1257671797967602,37.4978397,126.8984636
129,영등포본동,1,0.1257671797967602,37.514692,126.909387
130,영등포동,1,0.1257671797967602,37.513786,126.906901
131,도림동,0,0.2398426632129323,37.509105,126.900533
132,문래동,2,0.1889055755480623,37.517141,126.899454
133,후암동,3,0.1804142310745471,37.549901,126.980613
134,용산2가동,0,0.2641833432402087,37.542884,126.985008
135,남영동,0,0.2641833432402087,37.542865,126.973353
136,원효로1동,3,0.1804142310745471,37.5377684,126.9670171
137,원효로2동,0,0.2641833432402087,37.5338678,126.9520898
138,효창동,2,0.2584446799162639,37.542828,126.960951
139,용문동,0,0.2641833432402087,37.537663,126.959677
140,이촌1동,1,0.1336558895467728,37.5157207,126.9696566
141,이촌2동,2,0.2584446799162639,37.5268725,126.9541116
142,이태원1동,2,0.2584446799162639,37.5343105,126.9927728
143,이태원2동,2,0.2584446799162639,37.541982,126.9916254
144,서빙고동,0,0.2641833432402087,37.518619,126.991299
145,보광동,0,0.2641833432402087,37.526873,127.000917
146,청파동,3,0.1804142310745471,37.545502,126.969899
147,한강로동,1,0.1336558895467728,37.529054,126.969503
148,한남동,1,0.1336558895467728,37.537541,127.005165
149,사직동,2,0.1923150890418862,37.575408,126.965944
150,삼청동,3,0.0,37.590758,126.980996
151,부암동,2,0.1923150890418862,37.594768,126.965574
152,평창동,4,0.2609875769913352,37.613029,126.974485
153,무악동,2,0.1923150890418862,37.57711,126.958562
154,교남동,2,0.1923150890418862,37.568547,126.964454
155,가회동,3,0.0,37.582682,126.984831
156,종로1.2.3.4가동,0,0.2933153433256094,37.570962,126.977881
157,종로5.6가동,1,0.0,37.573681,127.009292
158,이화동,3,0.0,37.577245,127.005622
159,창신1동,0,0.2933153433256094,37.5734636,127.0143719
160,창신2동,0,0.2933153433256094,37.575926,127.0116564
161,창신3동,3,0.0,37.5777563,127.0149653
162,숭인1동,1,0.0,37.5764798,127.0176606
163,숭인2동,0,0.2933153433256094,37.5744396,127.0212115
164,청운효자동,2,0.1923150890418862,37.584009,126.970626
165,혜화동,4,0.2609875769913352,37.587817,127.001745
166,녹번동,3,0.2535288040412491,37.605314,126.934567
167,불광1동,3,0.2535288040412491,37.6162412,126.9356285
168,불광2동,0,0.1929856161387438,37.6242761,126.9270959
169,갈현1동,0,0.1929856161387438,37.6258596,126.9129109
170,갈현2동,0,0.1929856161387438,37.6184757,126.9116182
171,구산동,3,0.2535288040412491,37.611074,126.907302
172,대조동,0,0.1929856161387438,37.612256,126.923141
173,응암1동,1,0.2082277734204188,37.5987268,126.9276398
174,응암2동,1,0.2082277734204188,37.5927106,126.9249609
175,응암3동,0,0.1929856161387438,37.589806,126.9166543
176,신사1동,1,0.2082277734204188,37.5998005,126.9067951
177,신사2동,0,0.1929856161387438,37.5943261,126.906323
178,증산동,2,0.3739016638624042,37.584166,126.905952
179,수색동,2,0.3739016638624042,37.585574,126.894529
180,진관동,1,0.2082277734204188,37.639681,126.937804
181,역촌동,3,0.2535288040412491,37.604582,126.914611
