,동,인구 수,인구수_scaled,수급인구비율_scaled
0,신도림동,36494.0,0.8720775145143576,0.01950089794677952
1,구로1동,21632.0,0.28907108112348967,0.0
2,구로2동,33050.0,0.7369763062921701,0.639075809594466
3,구로3동,25722.0,0.4495135728856112,0.26707099157677816
4,구로4동,25031.0,0.4224070296563628,0.7057126203629446
5,구로5동,32339.0,0.7090852032010042,0.2034136664481862
6,고척1동,23547.0,0.3641926879020869,0.5154236144103871
7,고척2동,27853.0,0.5331084261729171,0.7903128307859801
8,개봉1동,35239.0,0.8228463831790367,0.9044657343752102
9,개봉2동,32218.0,0.7043386160364036,0.4353985643901692
10,개봉3동,21284.0,0.27541973952612586,0.5985738794041996
11,오류1동,23360.0,0.35685705319315864,0.8948521554782825
12,오류2동,39755.0,1.0,0.795977705717755
13,수궁동,24297.0,0.3936136827239919,0.6652402181039365
14,가리봉동,14263.0,0.0,0.9999999999999999
15,항동,16404.0,0.08398713321826456,0.6692178455072607
