,동,인구 수,인구수_scaled,수급인구비율_scaled
0,천연동,18049.0,0.14997375963828663,0.9246472770536727
1,홍제1동,24604.0,0.4145977150700416,0.46783868785817884
2,홍제2동,14334.0,0.0,0.7859216761517087
3,홍제3동,15983.0,0.0665697791772637,0.9798257677553139
4,홍은1동,23266.0,0.36058293972790767,0.6018569047619506
5,홍은2동,27734.0,0.5409551491663639,0.9278897441547782
6,남가좌1동,16141.0,0.07294820556295667,0.0
7,남가좌2동,30996.0,0.6726413951798474,0.8566281432083833
8,북가좌1동,18557.0,0.170481611561907,0.4012513312590299
9,북가좌2동,32947.0,0.7514028501069799,1.0
10,충현동,21229.0,0.27834968309717,0.5259687686533079
11,북아현동,16956.0,0.1058495821727019,0.6849587874303111
12,신촌동,23051.0,0.351903435468895,0.2691298137162067
13,연희동,39105.0,1.0,0.2238548805539785
