,dong,population,ratio,cluster
0,가산동,0.4463623655260438,0.0,1
1,독산1동,1.0,0.2374109799014361,1
2,독산2동,0.2850847869689418,0.6010426996066476,2
3,독산3동,0.524220506898438,0.1663847773797099,1
4,독산4동,0.1877773050507507,0.3793607842007334,0
5,시흥1동,0.7444235093903848,0.2838761001866799,1
6,시흥2동,0.328420348872546,0.5726306278631421,2
7,시흥3동,0.0,0.1218362924659061,0
8,시흥4동,0.3110375007597398,0.5927501854367967,2
9,시흥5동,0.2748131039931927,1.0,0
